FULLPOLICY_NB,POLICYEFFECTIVE_DT,ACCOUNTING_MONTH,INSUREDITEM_TP,POLICYRATEDSTATE_TP,RATEDCOUNTY_TP,ZIP,HAZARD_SCORE,INTEGRATEDCOVERAGE_TP,PROPERTYCOVERAGESUBTYPE_TP,CONSTRUCTION_TP,ROOF_TP,DWELLINGSQUAREFEET_CT,DWELLINGSTORY_CT,HOME_AGE_YR,HAS_MORTGAGE,RATEDINSUREDAGE_CT,MERITPOINT_CT,CREDITMODEL_CD,AGENT_CHANNEL,DIRECTWRITTENPREMIUM_AM,EARNEDPREMIUM_AM,TAX_AM,COMMISSION_EXPENSE_AM,ADMIN_EXPENSE_AM,PPCVRGLIMIT_AM,GROSSLOSSPAIO_AM,CLAIMCOUNT_CT,EARNEDEXPOSURE_CT,WRITENEXPOSURE_CT,POLICYTERM_CT,SEASONAL_IN,MULTIPRODUCTDISCOUNT_FLAG,DelequencyFlag,DiscountRate,New_Existing_Recurring_Flag,NETLOSS_PAID_AM,POLICY_RENEWED_FLAG
HA00000001,2025-01-31,2025-01,18,48,538,76101,0.08,HO3,2511,4,1,2573,1,48,True,56,6,ASSIST01,Independent,2916.87,2698.1,131.26,437.53,137.51,928706.03,0.0,0,1.0,1.0,12,False,True,False,0.0722,New,0.0,True
HA00000002,2025-12-30,2025-12,18,48,1101,75201,0.32,HO3,2500,1,2,2340,3,60,False,48,10,INTRNL06,Independent,3511.73,3248.35,158.03,526.76,155.35,501481.9,0.0,0,1.0,1.0,12,False,True,False,0.1005,Existing,0.0,True
HA00000003,2024-05-10,2024-05,19,36,1179,11354,0.4,HO6,2511,1,1,2920,2,67,True,34,5,ASSIST01,Captive,2380.65,2202.1,107.13,238.07,121.42,550087.36,13457.46,1,1.0,1.0,12,False,True,False,0.1462,Recurring,12457.46,True
HA00000004,2025-07-18,2025-07,18,36,403,10001,0.53,HO3,2500,1,5,1897,2,23,False,49,9,INTRNL06,Captive,1981.23,1832.64,89.16,198.12,109.44,436999.54,0.0,0,1.0,1.0,12,False,True,False,0.1012,Existing,0.0,True
HA00000005,2025-02-04,2025-02,19,06,1676,93001,0.83,HO6,2537,6,5,3245,2,16,False,65,2,ASSIST03,Independent,3826.16,3539.2,172.18,573.92,164.78,1642967.04,0.0,0,1.0,1.0,12,False,False,False,0.047,New,0.0,True
HA00000006,2024-12-31,2024-12,18,06,627,93311,0.41,HO3,2511,1,2,2624,1,24,True,40,9,INTRNL06,Captive,2582.34,2388.66,116.21,258.23,127.47,478945.22,0.0,0,1.0,1.0,12,False,False,False,0.0776,Existing,0.0,True
HA00000007,2024-11-10,2024-11,18,12,123,33301,0.4,HO3,2537,2,1,2720,2,13,False,43,2,ASSIST03,Captive,2384.41,2205.58,107.3,238.44,121.53,457856.26,0.0,0,1.0,1.0,12,False,True,False,0.1758,Recurring,0.0,True
HA00000008,2022-05-02,2022-05,18,18,1230,60901,0.08,HO3,2511,4,1,1603,2,32,True,38,9,INTRNL06,Independent,1619.4,1497.95,72.87,242.91,98.58,490084.3,0.0,0,1.0,1.0,12,False,False,False,0.0038,New,0.0,True
HA00000009,2023-04-12,2023-04,18,36,765,10001,0.64,HO3,2511,1,1,1714,1,7,True,21,2,ASSIST03,Captive,982.43,908.75,44.21,98.24,79.47,332772.92,0.0,0,1.0,1.0,12,False,True,False,0.1112,Recurring,0.0,True
HA00000010,2025-05-23,2025-05,18,48,1326,77019,0.17,HO3,2500,4,1,2749,1,23,True,32,9,INTRNL06,Independent,2737.76,2532.43,123.2,410.66,132.13,1014113.33,7822.75,1,1.0,1.0,12,False,False,False,0.0308,Existing,6822.75,True
HA00000011,2022-11-27,2022-11,18,48,1406,77019,0.52,HO3,2511,2,2,919,1,47,False,44,6,ASSIST01,Captive,875.52,809.86,39.4,87.55,76.27,311580.42,0.0,0,1.0,1.0,12,False,False,False,0.0556,Existing,0.0,True
HA00000012,2022-03-29,2022-03,18,06,1416,90401,0.46,HO3,2511,2,1,2102,1,17,True,58,2,ASSIST03,Independent,2303.11,2130.38,103.64,345.47,119.09,548108.21,2659.3,1,1.0,1.0,12,False,True,False,0.0873,Existing,1159.3,True
HA00000013,2025-10-28,2025-10,7,36,942,10304,0.53,MHO,2537,1,3,1500,1,44,False,39,1,ASSIST03,Independent,869.32,804.12,39.12,130.4,76.08,265746.24,0.0,0,0.4986,0.5,6,False,True,True,0.0986,Existing,0.0,False
HA00000014,2025-01-28,2025-01,7,36,197,10583,0.13,MHO,2511,6,1,1863,1,56,False,57,6,ASSIST01,Captive,2172.65,2009.7,97.77,217.26,115.18,1059296.48,0.0,0,1.0,1.0,12,True,True,False,0.0426,New,0.0,True
HA00000015,2024-05-21,2024-05,19,18,540,60626,0.2,HO6,2500,1,5,2657,1,18,False,61,8,INTRNL06,Independent,1978.43,1830.05,89.03,296.76,109.35,442495.62,0.0,0,0.4986,0.5,6,False,True,False,0.154,Recurring,0.0,True
HA00000016,2022-05-11,2022-05,19,48,1889,79901,0.2,HO6,2537,1,1,1569,1,26,False,67,9,INTRNL06,Direct,1605.61,1485.19,72.25,128.45,98.17,145966.39,0.0,0,0.4986,0.5,6,False,True,False,0.0885,Existing,0.0,True
HA00000017,2025-08-25,2025-08,18,06,1496,92037,0.31,HO3,2511,1,1,2043,1,28,True,30,5,ASSIST01,Independent,2512.43,2324.0,113.06,376.86,125.37,301010.36,0.0,0,1.0,1.0,12,False,False,False,0.0104,New,0.0,False
HA00000018,2024-02-09,2024-02,18,18,1951,60901,0.19,HO3,2500,1,5,3071,1,11,False,61,9,INTRNL06,Independent,2799.06,2589.13,125.96,419.86,133.97,562331.55,0.0,0,1.0,1.0,12,False,True,False,0.1346,Recurring,0.0,True
HA00000019,2022-12-10,2022-12,18,12,1833,33401,0.34,HO3,2500,2,2,3152,1,20,True,33,5,ASSIST01,Direct,3602.68,3332.48,162.12,288.21,158.08,757564.54,0.0,0,1.0,1.0,12,False,True,False,0.0853,Existing,0.0,True
HA00000020,2025-12-08,2025-12,18,48,1876,78202,0.42,HO3,2511,2,5,1403,1,28,True,47,5,ASSIST01,Captive,1422.39,1315.71,64.01,142.24,92.67,568423.5,0.0,0,0.4986,0.5,6,False,True,False,0.1012,Existing,0.0,True
HA00000021,2024-03-16,2024-03,20,06,806,91201,0.46,HO2,2511,1,5,2288,1,29,True,30,10,INTRNL06,Direct,1988.47,1839.33,89.48,159.08,109.65,528486.0,0.0,0,1.0,1.0,12,False,True,False,0.045,New,0.0,True
HA00000022,2023-01-21,2023-01,18,18,1031,60510,0.17,HO3,2500,6,1,2744,2,3,False,71,9,INTRNL06,Captive,1782.76,1649.05,80.22,178.28,103.48,1178026.37,0.0,0,1.0,1.0,12,False,False,False,0.0441,Existing,0.0,True
HA00000023,2025-04-30,2025-04,20,12,1477,33060,0.73,HO2,2500,2,2,2196,1,45,True,27,9,INTRNL06,Independent,3935.88,3640.69,177.11,590.38,168.08,621275.01,0.0,0,0.4986,0.5,6,False,False,False,0.0427,Existing,0.0,True
HA00000024,2024-08-13,2024-08,20,12,603,33602,0.48,HO2,2511,2,1,2394,1,13,False,63,2,ASSIST03,Captive,4183.25,3869.51,188.25,418.33,175.5,463317.75,0.0,0,1.0,1.0,12,False,False,False,0.016,New,0.0,True
HA00000025,2022-10-04,2022-10,18,12,583,32205,0.29,HO3,2500,4,1,1952,1,20,False,46,9,INTRNL06,Direct,1831.63,1694.26,82.42,146.53,104.95,384027.86,0.0,0,0.4986,0.5,6,False,False,False,0.0502,Existing,0.0,False
HA00000026,2025-03-30,2025-03,18,48,155,75201,0.15,HO3,2511,1,5,2311,2,24,False,62,7,ASSIST01,Independent,2657.51,2458.2,119.59,398.63,129.73,599019.61,0.0,0,1.0,1.0,12,False,False,False,0.0428,New,0.0,True
HA00000027,2023-04-05,2023-04,18,48,1330,75215,0.36,HO3,2500,1,1,1597,2,27,True,43,1,ASSIST03,Independent,1397.57,1292.75,62.89,209.64,91.93,198236.93,144112.98,1,1.0,1.0,12,False,True,False,0.0598,Existing,142112.98,True
HA00000028,2025-08-30,2025-08,19,06,516,95816,0.27,HO6,2537,1,1,1304,2,33,False,65,8,INTRNL06,Independent,1456.96,1347.69,65.56,218.54,93.71,213644.03,0.0,0,1.0,1.0,12,False,True,False,0.0711,Existing,0.0,True
HA00000029,2022-01-22,2022-01,18,18,644,60510,0.04,HO3,2511,6,1,3120,2,41,True,51,4,ASSIST01,Direct,2606.36,2410.88,117.29,208.51,128.19,1385644.49,0.0,0,1.0,1.0,12,False,False,False,0.0879,Recurring,0.0,True
HA00000030,2022-09-10,2022-09,18,06,104,91301,0.35,HO3,2511,4,5,1872,2,50,True,37,3,ASSIST03,Independent,2200.79,2035.73,99.04,330.12,116.02,671782.62,0.0,0,1.0,1.0,12,False,False,False,0.0871,Recurring,0.0,True
HA00000031,2024-01-18,2024-01,20,12,104,33458,0.59,HO2,2511,1,1,1235,1,28,True,47,2,ASSIST03,Independent,1937.91,1792.57,87.21,290.69,108.14,282158.32,0.0,0,0.4986,0.5,6,False,False,True,0.1209,Recurring,0.0,False
HA00000032,2024-05-06,2024-05,19,18,214,61401,0.1,HO6,2537,1,2,2223,1,24,True,49,2,ASSIST03,Independent,1367.89,1265.3,61.56,205.18,91.04,423767.05,7337.41,1,0.4986,0.5,6,False,True,True,0.0643,Existing,6337.41,True
HA00000033,2023-04-20,2023-04,19,06,102,90802,0.9,HO6,2500,1,2,1623,1,17,False,46,2,ASSIST03,Independent,2375.9,2197.71,106.92,356.38,121.28,229711.41,14971.86,1,1.0,1.0,12,True,False,False,0.0737,Existing,12971.86,True
HA00000034,2024-12-18,2024-12,18,12,1102,32801,0.73,HO3,2537,1,1,2740,1,32,True,59,1,ASSIST03,Direct,2277.99,2107.14,102.51,182.24,118.34,328800.0,18551.87,2,1.0,1.0,12,False,False,True,0.0246,New,17551.87,True
HA00000035,2023-05-26,2023-05,18,48,1922,78702,0.15,HO3,2500,1,3,1259,1,47,False,61,9,INTRNL06,Independent,882.75,816.54,39.72,132.41,76.48,248755.61,0.0,0,1.0,1.0,12,False,False,False,0.053,Existing,0.0,False
HA00000036,2023-12-01,2023-12,18,36,1938,10019,0.06,HO3,2511,1,1,2768,2,63,True,45,2,ASSIST03,Direct,1650.96,1527.14,74.29,132.08,99.53,459768.67,0.0,0,1.0,1.0,12,False,False,True,0.0298,New,0.0,True
HA00000037,2024-09-02,2024-09,18,36,255,10002,0.38,HO3,2500,1,1,2421,1,80,True,29,2,ASSIST03,Independent,4239.1,3921.17,190.76,635.86,177.17,349777.84,26008.71,3,1.0,1.0,12,False,False,False,0.0335,Existing,24008.71,True
HA00000038,2022-07-09,2022-07,18,06,232,90210,0.26,HO3,2537,1,1,834,2,31,True,56,2,ASSIST03,Independent,249.91,231.17,11.25,37.49,57.5,107755.43,16127.76,1,1.0,1.0,12,False,False,False,0.0173,New,15127.76,False
HA00000039,2024-08-15,2024-08,20,12,1793,33060,0.16,HO2,2537,2,1,3102,1,62,True,40,2,ASSIST03,Captive,2984.73,2760.88,134.31,298.47,139.54,819154.43,0.0,0,1.0,1.0,12,False,True,False,0.0567,Existing,0.0,False
HA00000040,2023-11-18,2023-11,18,36,1908,11354,0.54,HO3,2500,1,1,2452,1,18,True,38,3,ASSIST03,Captive,1654.28,1530.21,74.44,165.43,99.63,355842.94,6891.93,1,1.0,1.0,12,True,False,True,0.0536,Existing,4891.93,True
HA00000041,2024-08-15,2024-08,19,48,1688,76101,0.16,HO6,2511,2,3,2549,3,19,False,64,10,INTRNL06,Independent,3168.26,2930.64,142.57,475.24,145.05,656342.17,0.0,0,1.0,1.0,12,False,False,False,0.0165,New,0.0,True
HA00000042,2023-07-17,2023-07,20,36,1946,11354,0.5,HO2,2511,6,1,1525,2,63,True,37,9,INTRNL06,Independent,3763.21,3480.97,169.34,564.48,162.9,712427.08,0.0,0,1.0,1.0,12,False,True,False,0.1103,Existing,0.0,True
HA00000043,2025-06-21,2025-06,18,06,691,92101,0.23,HO3,2511,1,2,1754,1,41,False,67,5,ASSIST01,Captive,1034.31,956.74,46.54,103.43,81.03,458442.03,0.0,0,0.4986,0.5,6,False,False,False,0.0363,New,0.0,True
HA00000044,2024-04-11,2024-04,18,12,1824,33705,0.65,HO3,2511,1,1,2543,1,35,False,41,9,INTRNL06,Independent,3508.21,3245.09,157.87,526.23,155.25,474399.81,0.0,0,1.0,1.0,12,False,True,False,0.0399,New,0.0,True
HA00000045,2025-02-28,2025-02,19,12,171,33301,0.78,HO6,2511,1,3,2296,1,1,False,33,9,INTRNL06,Captive,1767.2,1634.66,79.52,176.72,103.02,433484.98,0.0,0,0.4986,0.5,6,False,False,False,0.116,Recurring,0.0,True
HA00000046,2023-10-09,2023-10,18,12,1795,33701,0.25,HO3,2511,1,2,2970,2,13,True,43,2,ASSIST03,Independent,3260.02,3015.52,146.7,489.0,147.8,668969.76,0.0,0,1.0,1.0,12,False,True,False,0.0803,Existing,0.0,True
HA00000047,2022-01-21,2022-01,18,12,666,32084,0.59,HO3,2511,1,1,1765,3,34,True,46,2,ASSIST03,Independent,2014.6,1863.5,90.66,302.19,110.44,339975.64,0.0,0,1.0,1.0,12,False,False,False,0.0334,New,0.0,True
HA00000048,2024-04-20,2024-04,7,12,1650,33401,0.77,MHO,2511,1,2,3085,1,59,True,34,3,ASSIST03,Independent,3253.01,3009.03,146.39,487.95,147.59,819950.29,12924.42,1,1.0,1.0,12,False,False,True,0.1457,Recurring,11424.42,False
HA00000049,2022-06-16,2022-06,7,06,1202,92037,0.44,MHO,2537,1,1,2750,1,56,True,37,2,ASSIST03,Independent,1761.79,1629.66,79.28,264.27,102.85,449073.67,0.0,0,1.0,1.0,12,False,True,False,0.0617,Existing,0.0,True
HA00000050,2025-07-21,2025-07,18,06,1153,95814,0.94,HO3,2500,2,1,2263,2,28,True,51,9,INTRNL06,Independent,2438.99,2256.07,109.75,365.85,123.17,493934.4,0.0,0,1.0,1.0,12,False,False,False,0.0151,New,0.0,True
