FULLPOLICY_NB,POLICYEFFECTIVE_DT,ACCOUNTING_MONTH,INSUREDITEM_TP,POLICYRATEDSTATE_TP,RATEDCOUNTY_TP,ZIP,HAZARD_SCORE,INTEGRATEDCOVERAGE_TP,PROPERTYCOVERAGESUBTYPE_TP,CONSTRUCTION_TP,ROOF_TP,DWELLINGSQUAREFEET_CT,DWELLINGSTORY_CT,HOME_AGE_YR,HAS_MORTGAGE,RATEDINSUREDAGE_CT,MERITPOINT_CT,CREDITMODEL_CD,AGENT_CHANNEL,DIRECTWRITTENPREMIUM_AM,EARNEDPREMIUM_AM,TAX_AM,COMMISSION_EXPENSE_AM,ADMIN_EXPENSE_AM,PPCVRGLIMIT_AM,GROSSLOSSPAIO_AM,CLAIMCOUNT_CT,EARNEDEXPOSURE_CT,WRITENEXPOSURE_CT,POLICYTERM_CT,SEASONAL_IN,MULTIPRODUCTDISCOUNT_FLAG,DelequencyFlag,DiscountRate,New_Existing_Recurring_Flag,NETLOSS_PAID_AM,POLICY_RENEWED_FLAG
HA00000001,2025-01-31,2025-01,18,36,538,11530,0.11,HO3,2511,4,1,2573,1,48,True,56,10,ASSIST01,Independent,3259.77,3015.29,146.69,488.97,147.79,684860.18,0.0,0,1.0,1.0,12,False,True,False,0.0722,New,0.0,True
HA00000002,2025-12-30,2025-12,18,12,1101,33705,0.58,HO3,2500,1,2,2340,3,60,False,48,10,INTRNL06,Independent,2871.9,2656.51,129.24,430.78,136.16,148800.0,0.0,0,1.0,1.0,12,False,True,False,0.1005,Existing,0.0,True
HA00000003,2024-05-10,2024-05,19,12,1179,33705,0.85,HO6,2511,1,1,2920,2,67,True,34,2,ASSIST01,Captive,3107.1,2874.07,139.82,310.71,143.21,734408.93,41307.5,1,1.0,1.0,12,False,True,False,0.1462,Recurring,38807.5,True
HA00000004,2025-07-18,2025-07,18,48,403,77001,0.41,HO3,2500,1,5,1897,2,23,False,49,9,INTRNL06,Captive,2243.09,2074.86,100.94,224.31,117.29,409155.64,0.0,0,1.0,1.0,12,False,True,False,0.1012,Existing,0.0,True
HA00000005,2025-02-04,2025-02,19,36,1676,10583,0.8,HO6,2537,6,5,3245,2,16,False,65,2,ASSIST03,Independent,4192.9,3878.43,188.68,628.93,175.79,773586.35,0.0,0,1.0,1.0,12,False,False,False,0.047,New,0.0,False
HA00000006,2024-12-31,2024-12,18,48,627,77019,0.08,HO3,2511,1,2,2624,1,24,True,40,1,INTRNL06,Captive,3163.94,2926.64,142.38,316.39,144.92,328575.97,0.0,0,1.0,1.0,12,False,False,False,0.0776,Existing,0.0,False
HA00000007,2024-11-10,2024-11,18,36,123,11901,0.44,HO3,2537,2,1,2720,2,13,False,43,9,ASSIST03,Captive,3639.8,3366.82,163.79,363.98,159.19,687429.01,0.0,0,1.0,1.0,12,False,True,False,0.1758,Recurring,0.0,False
HA00000008,2022-05-02,2022-05,18,12,1230,33705,0.71,HO3,2511,4,1,1603,2,32,True,38,9,INTRNL06,Independent,945.69,874.76,42.56,141.85,78.37,1214326.52,0.0,0,1.0,1.0,12,False,False,False,0.0038,New,0.0,True
HA00000009,2023-04-12,2023-04,18,36,765,10036,0.67,HO3,2511,1,1,1714,1,7,True,21,9,ASSIST03,Captive,2678.8,2477.89,120.55,267.88,130.36,997703.4,0.0,0,1.0,1.0,12,False,True,False,0.1112,Recurring,0.0,True
HA00000010,2025-05-23,2025-05,18,06,1326,93311,0.93,HO3,2500,4,1,2749,1,23,True,32,1,INTRNL06,Independent,2645.74,2447.31,119.06,396.86,129.37,977578.25,4130.92,1,1.0,1.0,12,False,False,False,0.0308,Existing,3130.92,False
HA00000011,2022-11-27,2022-11,18,48,1406,75215,0.39,HO3,2511,2,2,919,1,47,False,44,2,ASSIST01,Captive,871.23,805.89,39.21,87.12,76.14,443712.55,0.0,0,1.0,1.0,12,False,False,False,0.0556,Existing,0.0,False
HA00000012,2022-03-29,2022-03,18,12,1416,33301,0.78,HO3,2511,2,1,2102,1,17,True,58,2,ASSIST03,Independent,2874.6,2659.0,129.36,431.19,136.24,584910.51,2841.94,1,1.0,1.0,12,False,True,True,0.0873,Existing,0.0,True
HA00000013,2025-10-28,2025-10,7,36,942,10007,0.35,MHO,2537,1,3,1500,1,44,False,39,9,ASSIST03,Independent,1838.69,1700.79,82.74,275.8,105.16,323900.05,0.0,0,0.4986,0.5,6,False,True,False,0.0986,Existing,0.0,False
HA00000014,2025-01-28,2025-01,7,48,197,77840,0.14,MHO,2511,6,1,1863,1,56,False,57,9,ASSIST01,Captive,1600.8,1480.74,72.04,160.08,98.02,874089.68,0.0,0,1.0,1.0,12,True,True,False,0.0426,New,0.0,True
HA00000015,2024-05-21,2024-05,19,06,540,95816,0.04,HO6,2500,1,5,2657,1,18,False,61,9,INTRNL06,Independent,3955.28,3658.63,177.99,593.29,168.66,631495.95,0.0,0,0.4986,0.5,6,False,True,False,0.154,Recurring,0.0,True
HA00000016,2022-05-11,2022-05,19,48,1889,77001,0.17,HO6,2537,1,1,1569,1,26,False,67,4,INTRNL06,Direct,2322.1,2147.94,104.49,185.77,119.66,931967.08,0.0,0,0.4986,0.5,6,False,True,False,0.0885,Existing,0.0,True
HA00000017,2025-08-25,2025-08,18,06,1496,92037,0.05,HO3,2511,1,1,2043,1,28,True,30,3,ASSIST01,Independent,2597.86,2403.02,116.9,389.68,127.94,372239.65,0.0,0,1.0,1.0,12,False,False,False,0.0104,New,0.0,True
HA00000018,2024-02-09,2024-02,18,36,1951,11354,0.67,HO3,2500,1,5,3071,1,11,False,61,9,INTRNL06,Independent,3203.34,2963.09,144.15,480.5,146.1,439414.86,0.0,0,1.0,1.0,12,False,True,False,0.1346,Recurring,0.0,True
HA00000019,2022-12-10,2022-12,18,06,1833,90001,0.64,HO3,2500,2,2,3152,1,20,True,33,5,ASSIST01,Direct,2623.79,2427.01,118.07,209.9,128.71,453888.0,0.0,0,1.0,1.0,12,False,True,False,0.0853,Existing,0.0,True
HA00000020,2025-12-08,2025-12,18,36,1876,10950,0.21,HO3,2511,2,5,1403,1,28,True,47,10,ASSIST01,Captive,1627.76,1505.68,73.25,162.78,98.83,333789.08,0.0,0,0.4986,0.5,6,False,True,False,0.1012,Existing,0.0,True
HA00000021,2024-03-16,2024-03,20,48,806,79901,0.2,HO2,2511,1,5,2288,1,29,True,30,2,INTRNL06,Direct,3272.84,3027.38,147.28,261.83,148.19,277822.14,0.0,0,1.0,1.0,12,False,True,False,0.045,New,0.0,True
HA00000022,2023-01-21,2023-01,18,18,1031,60901,0.09,HO3,2500,6,1,2744,2,3,False,71,5,INTRNL06,Captive,1769.95,1637.2,79.65,177.0,103.1,605904.46,0.0,0,1.0,1.0,12,False,False,False,0.0441,Existing,0.0,True
HA00000023,2025-04-30,2025-04,20,48,1477,76102,0.42,HO2,2500,2,2,2196,1,45,True,27,9,INTRNL06,Independent,1895.61,1753.44,85.3,284.34,106.87,576141.18,0.0,0,0.4986,0.5,6,False,False,False,0.0427,Existing,0.0,True
HA00000024,2024-08-13,2024-08,20,36,603,10701,0.22,HO2,2511,2,1,2394,1,13,False,63,9,ASSIST03,Captive,2716.52,2512.78,122.24,271.65,131.5,1504035.55,0.0,0,1.0,1.0,12,False,False,False,0.016,New,0.0,True
HA00000025,2022-10-04,2022-10,18,48,583,77845,0.35,HO3,2500,4,1,1952,1,20,False,46,2,INTRNL06,Direct,1034.31,956.74,46.54,82.74,81.03,945572.49,0.0,0,0.4986,0.5,6,False,False,False,0.0502,Existing,0.0,True
HA00000026,2025-03-30,2025-03,18,06,155,91301,0.32,HO3,2511,1,5,2311,2,24,False,62,7,ASSIST01,Independent,1535.24,1420.1,69.09,230.29,96.06,356629.42,0.0,0,1.0,1.0,12,False,False,False,0.0428,New,0.0,True
HA00000027,2023-04-05,2023-04,18,12,1330,32084,0.48,HO3,2500,1,1,1597,2,27,True,43,1,ASSIST03,Independent,2602.27,2407.1,117.1,390.34,128.07,275160.0,5274.59,1,1.0,1.0,12,False,True,False,0.0598,Existing,274.59,True
HA00000028,2025-08-30,2025-08,19,12,516,33980,0.62,HO6,2537,1,1,1304,2,33,False,65,9,INTRNL06,Independent,1475.88,1365.19,66.41,221.38,94.28,586274.82,0.0,0,1.0,1.0,12,False,True,False,0.0711,Existing,0.0,True
HA00000029,2022-01-22,2022-01,18,06,644,92037,0.01,HO3,2511,6,1,3120,2,41,True,51,10,ASSIST01,Direct,2199.16,2034.22,98.96,175.93,115.97,848658.47,0.0,0,1.0,1.0,12,False,False,False,0.0879,Recurring,0.0,False
HA00000030,2022-09-10,2022-09,18,12,104,33629,0.52,HO3,2511,4,5,1872,2,50,True,37,2,ASSIST03,Independent,1891.07,1749.24,85.1,283.66,106.73,344448.0,0.0,0,1.0,1.0,12,False,False,False,0.0871,Recurring,0.0,False
HA00000031,2024-01-18,2024-01,20,26,104,48304,0.24,HO2,2511,1,1,1235,1,28,True,47,5,ASSIST03,Independent,2039.04,1886.11,91.76,305.86,111.17,243330.81,0.0,0,0.4986,0.5,6,False,False,False,0.1209,Recurring,0.0,True
HA00000032,2024-05-06,2024-05,19,12,214,32205,0.97,HO6,2537,1,2,2223,1,24,True,49,2,ASSIST03,Independent,2404.88,2224.51,108.22,360.73,122.15,266760.0,4403.5,1,0.4986,0.5,6,False,True,False,0.0643,Existing,0.0,True
HA00000033,2023-04-20,2023-04,19,12,102,33301,0.67,HO6,2500,1,2,1623,1,17,False,46,1,ASSIST03,Independent,1382.77,1279.06,62.22,207.42,91.48,253770.64,2868.31,1,1.0,1.0,12,True,False,False,0.0737,Existing,0.0,True
HA00000034,2024-12-18,2024-12,18,06,1102,90401,0.78,HO3,2537,1,1,2740,1,32,True,59,9,ASSIST03,Direct,4207.76,3892.18,189.35,336.62,176.23,398742.01,7108.9,2,1.0,1.0,12,False,False,False,0.0246,New,2108.9,False
HA00000035,2023-05-26,2023-05,18,48,1922,77380,0.01,HO3,2500,1,3,1259,1,47,False,61,10,INTRNL06,Independent,1587.86,1468.77,71.45,238.18,97.64,406554.36,0.0,0,1.0,1.0,12,False,False,False,0.053,Existing,0.0,True
HA00000036,2023-12-01,2023-12,18,48,1938,77002,0.29,HO3,2511,1,1,2768,2,63,True,45,9,ASSIST03,Direct,2934.36,2714.28,132.05,234.75,138.03,420417.22,0.0,0,1.0,1.0,12,False,False,False,0.0298,New,0.0,False
HA00000037,2024-09-02,2024-09,18,06,255,91101,0.88,HO3,2500,1,1,2421,1,80,True,29,4,ASSIST03,Independent,2611.98,2416.08,117.54,391.8,128.36,345228.28,83607.16,3,1.0,1.0,12,False,False,True,0.0335,Existing,78607.16,True
HA00000038,2022-07-09,2022-07,18,12,232,33458,0.65,HO3,2537,1,1,834,2,31,True,56,2,ASSIST03,Independent,848.49,784.85,38.18,127.27,75.45,242459.95,6661.26,1,1.0,1.0,12,False,False,False,0.0173,New,1661.26,True
HA00000039,2024-08-15,2024-08,20,48,1793,78201,0.16,HO2,2537,2,1,3102,1,62,True,40,9,ASSIST03,Captive,3481.4,3220.3,156.66,348.14,154.44,446688.0,0.0,0,1.0,1.0,12,False,True,False,0.0567,Existing,0.0,True
HA00000040,2023-11-18,2023-11,18,12,1908,33705,0.47,HO3,2500,1,1,2452,1,18,True,38,8,ASSIST03,Captive,1497.58,1385.26,67.39,149.76,94.93,420871.81,3158.29,1,1.0,1.0,12,True,False,False,0.0536,Existing,0.0,False
HA00000041,2024-08-15,2024-08,19,18,1688,61401,0.55,HO6,2511,2,3,2549,3,19,False,64,10,INTRNL06,Independent,1856.86,1717.6,83.56,278.53,105.71,501282.16,0.0,0,1.0,1.0,12,False,False,False,0.0165,New,0.0,True
HA00000042,2023-07-17,2023-07,20,36,1946,10007,0.27,HO2,2511,6,1,1525,2,63,True,37,2,INTRNL06,Independent,1884.18,1742.87,84.79,282.63,106.53,1457665.28,0.0,0,1.0,1.0,12,False,True,False,0.1103,Existing,0.0,True
HA00000043,2025-06-21,2025-06,18,18,691,60901,0.42,HO3,2511,1,2,1754,1,41,False,67,9,ASSIST01,Captive,2283.58,2112.31,102.76,228.36,118.51,280243.99,0.0,0,0.4986,0.5,6,False,False,False,0.0363,New,0.0,True
HA00000044,2024-04-11,2024-04,18,12,1824,33060,0.45,HO3,2511,1,1,2543,1,35,False,41,9,INTRNL06,Independent,3005.4,2780.0,135.24,450.81,140.16,524319.66,0.0,0,1.0,1.0,12,False,True,False,0.0399,New,0.0,False
HA00000045,2025-02-28,2025-02,19,36,171,12203,0.39,HO6,2511,1,3,2296,1,1,False,33,9,INTRNL06,Captive,2671.89,2471.5,120.24,267.19,130.16,375858.18,0.0,0,0.4986,0.5,6,False,False,False,0.116,Recurring,0.0,False
